HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Season,HT VAL/AT VAL,HT Form,AT Form,Form Diffrence
Blackburn,Wolves,AD,2.2,1.96,2011,1.11,0,0,0
Fulham,Aston Villa,AD,2.2,2.11,2011,0.75,0,0,0
Liverpool,Sunderland,AD,1.57,1.85,2011,1.98,0,0,0
Newcastle,Arsenal,AD,3.75,1.8,2011,0.39,0,0,0
QPR,Bolton,AD,2.4,2.16,2011,1.08,0,0,0
Wigan,Norwich,AD,2.2,1.89,2011,3.11,0,0,0
Stoke,Chelsea,AD,5.5,2.0,2011,0.25,0,0,0
West Brom,Man United,AD,6.5,1.71,2011,0.2,0,0,0
Man City,Swansea,H,1.29,1.63,2011,11.39,0,0,0
Arsenal,Liverpool,AD,2.5,2.03,2011,1.26,1,1,0
Aston Villa,Blackburn,H,1.73,1.86,2011,1.74,1,0,1
Chelsea,West Brom,H,1.3,1.56,2011,5.74,1,0,1
Everton,QPR,AD,1.53,1.84,2011,1.79,0,0,0
Sunderland,Newcastle,AD,2.2,2.12,2011,1.04,1,1,0
Swansea,Wigan,AD,2.1,2.09,2011,0.58,0,1,-1
Bolton,Man City,AD,4.75,1.91,2011,0.21,3,3,0
Norwich,Stoke,AD,2.6,2.13,2011,0.19,1,1,0
Wolves,Fulham,H,2.38,2.17,2011,0.69,3,1,2
Man United,Tottenham,H,1.67,1.7,2011,1.26,3,0,3
Aston Villa,Wolves,AD,2.1,1.89,2011,1.92,4,6,-2
Blackburn,Everton,AD,3.3,2.17,2011,0.48,0,0,0
Chelsea,Norwich,H,1.2,1.51,2011,20.78,4,2,2
Liverpool,Bolton,H,1.4,1.7,2011,2.52,4,3,1
Swansea,Sunderland,AD,2.38,2.08,2011,0.32,1,1,0
Wigan,QPR,H,2.25,2.12,2011,0.66,2,3,-1
Man United,Arsenal,H,1.5,1.77,2011,1.28,6,1,5
Newcastle,Fulham,H,2.1,2.09,2011,1.02,4,1,3
Tottenham,Man City,AD,2.88,1.78,2011,0.68,0,6,-6
West Brom,Stoke,AD,2.1,2.07,2011,0.68,0,2,-2
Arsenal,Swansea,H,1.36,1.65,2011,7.68,1,2,-1
Bolton,Man United,AD,9.0,1.63,2011,0.25,3,9,-6
Everton,Aston Villa,AD,2.0,2.08,2011,1.21,3,5,-2
Man City,Wigan,H,1.17,1.47,2011,6.6,9,5,4
Stoke,Liverpool,H,3.25,2.1,2011,0.48,5,7,-2
Sunderland,Chelsea,AD,5.0,1.97,2011,0.27,2,7,-5
Wolves,Tottenham,AD,3.0,1.92,2011,0.26,7,0,7
Fulham,Blackburn,AD,1.67,1.99,2011,1.31,1,0,1
Norwich,West Brom,AD,2.5,1.93,2011,0.28,2,0,2
QPR,Newcastle,AD,2.4,2.12,2011,0.88,3,7,-4
Aston Villa,Newcastle,AD,1.91,1.92,2011,1.31,6,8,-2
Blackburn,Arsenal,H,4.2,1.91,2011,0.29,1,4,-3
Bolton,Norwich,AD,1.8,1.81,2011,4.36,3,2,1
Everton,Wigan,H,1.5,1.92,2011,2.72,4,5,-1
Swansea,West Brom,H,2.63,2.13,2011,0.5,2,3,-1
Wolves,QPR,AD,1.91,2.05,2011,0.77,7,4,3
