HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5
Arsenal,Sunderland,0,0,D,1.4,4.5,8.5,1.76,2.05
Fulham,Norwich,5,0,H,1.8,3.6,4.5,1.89,1.92
Newcastle,Tottenham,2,1,H,2.5,3.4,2.75,1.88,1.92
QPR,Swansea,0,5,A,2.0,3.4,3.8,2.09,1.73
Reading,Stoke,1,1,D,2.38,3.25,3.1,2.18,1.67
West Brom,Liverpool,3,0,H,4.2,3.5,1.91,2.08,1.74
West Ham,Aston Villa,1,0,H,2.2,3.3,3.4,2.03,1.77
Man City,Southampton,3,2,H,1.17,7.0,17.0,1.5,2.51
Wigan,Chelsea,0,2,A,6.0,3.75,1.62,1.88,1.93
Everton,Man United,1,0,H,4.33,3.6,1.83,1.97,1.83
Chelsea,Reading,4,2,H,1.25,5.5,13.0,1.58,2.31
Aston Villa,Everton,1,3,A,2.9,3.4,2.4,2.19,1.66
Chelsea,Newcastle,2,0,H,1.5,4.33,6.5,1.65,2.19
Man United,Fulham,3,2,H,1.29,5.5,11.0,1.62,2.23
Norwich,QPR,1,1,D,2.25,3.4,3.2,1.8,2.0
Southampton,Wigan,0,2,A,2.1,3.4,3.5,1.92,1.88
Swansea,West Ham,3,0,H,2.1,3.3,3.6,1.99,1.81
Tottenham,West Brom,1,1,D,1.5,4.33,6.5,1.65,2.19
Liverpool,Man City,2,2,D,3.1,3.4,2.3,1.94,1.85
Stoke,Arsenal,0,0,D,3.5,3.4,2.1,2.03,1.77
Man City,QPR,3,1,H,1.18,7.0,15.0,1.35,3.04
Swansea,Sunderland,2,2,D,2.2,3.3,3.4,2.09,1.74
Tottenham,Norwich,1,1,D,1.36,5.0,8.5,1.51,2.49
West Brom,Everton,2,0,H,3.0,3.3,2.38,2.04,1.77
West Ham,Fulham,3,0,H,2.5,3.25,2.88,1.94,1.87
Wigan,Stoke,2,2,D,2.25,3.25,3.3,2.28,1.62
Liverpool,Arsenal,0,2,A,2.0,3.5,3.75,1.92,1.89
Newcastle,Aston Villa,1,1,D,1.62,3.75,6.0,1.81,1.99
Southampton,Man United,2,3,A,6.0,4.2,1.53,1.62,2.25
Arsenal,Southampton,6,1,H,1.36,5.0,8.5,1.52,2.47
Aston Villa,Swansea,2,0,H,2.38,3.25,3.1,1.96,1.84
Fulham,West Brom,3,0,H,2.1,3.4,3.5,1.94,1.86
Man United,Wigan,4,0,H,1.25,6.0,12.0,1.48,2.56
Norwich,West Ham,0,0,D,2.38,3.4,3.0,1.91,1.9
QPR,Chelsea,0,0,D,4.5,3.5,1.83,1.86,1.95
Stoke,Man City,1,1,D,5.0,3.6,1.73,1.99,1.81
Sunderland,Liverpool,1,1,D,3.4,3.3,2.2,1.99,1.83
Reading,Tottenham,1,3,A,3.75,3.5,2.0,1.95,1.85
Everton,Newcastle,2,2,D,1.73,3.6,5.0,1.99,1.82
Chelsea,Stoke,1,0,H,1.36,4.75,9.0,1.72,2.12
Southampton,Aston Villa,4,1,H,2.4,3.3,3.0,1.9,1.9
Swansea,Everton,0,3,A,3.0,3.3,2.4,2.04,1.78
