HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Season
Arsenal,Leicester,H,1.53,1.61,2017
Brighton,Man City,A,11.0,1.63,2017
Chelsea,Burnley,A,1.25,1.66,2017
Crystal Palace,Huddersfield,A,1.83,2.11,2017
Everton,Stoke,H,1.7,2.08,2017
Southampton,Swansea,D,1.62,2.08,2017
Watford,Liverpool,D,6.0,1.82,2017
West Brom,Bournemouth,H,2.4,2.16,2017
Man United,West Ham,H,1.3,1.7,2017
Newcastle,Tottenham,A,5.5,1.81,2017
Bournemouth,Watford,A,2.0,1.82,2017
Burnley,West Brom,A,2.63,2.46,2017
Leicester,Brighton,H,1.73,1.96,2017
Liverpool,Crystal Palace,H,1.36,1.57,2017
Southampton,West Ham,H,1.75,1.84,2017
Stoke,Arsenal,H,4.5,1.8,2017
Swansea,Man United,A,11.0,1.9,2017
Huddersfield,Newcastle,H,2.5,2.22,2017
Tottenham,Chelsea,A,2.1,1.9,2017
Man City,Everton,D,1.33,1.61,2017
Bournemouth,Man City,A,11.0,1.49,2017
Crystal Palace,Swansea,A,1.95,2.15,2017
Huddersfield,Southampton,D,3.9,2.19,2017
Man United,Leicester,H,1.33,1.65,2017
Newcastle,West Ham,H,2.3,1.94,2017
Watford,Brighton,D,1.91,2.21,2017
Chelsea,Everton,H,1.45,1.92,2017
Liverpool,Arsenal,H,2.15,1.58,2017
Tottenham,Burnley,D,1.25,1.66,2017
West Brom,Stoke,D,2.4,2.59,2017
Arsenal,Bournemouth,H,1.36,1.4,2017
Brighton,West Brom,H,2.7,2.6,2017
Everton,Tottenham,A,3.8,2.04,2017
Leicester,Chelsea,A,4.75,1.86,2017
Man City,Liverpool,H,1.85,1.53,2017
Southampton,Watford,A,1.65,1.97,2017
Stoke,Man United,D,7.5,1.88,2017
Burnley,Crystal Palace,H,2.3,2.35,2017
Swansea,Newcastle,A,2.4,2.17,2017
West Ham,Huddersfield,H,1.95,1.99,2017
Bournemouth,Brighton,H,2.15,2.06,2017
Crystal Palace,Southampton,A,3.0,2.3,2017
Huddersfield,Leicester,D,3.5,2.05,2017
Liverpool,Burnley,D,1.29,1.55,2017
Newcastle,Stoke,H,2.38,2.17,2017
Tottenham,Swansea,D,1.22,1.54,2017
Watford,Man City,A,9.0,1.5,2017
West Brom,West Ham,D,2.38,2.2,2017
Chelsea,Arsenal,D,1.8,1.62,2017
Man United,Everton,H,1.36,1.76,2017
Burnley,Huddersfield,D,2.15,2.4,2017
Everton,Bournemouth,H,1.65,1.85,2017
Leicester,Liverpool,A,4.1,1.69,2017
Man City,Crystal Palace,H,1.14,1.36,2017
Southampton,Man United,A,5.5,2.03,2017
Stoke,Chelsea,A,6.0,1.78,2017
Swansea,Watford,A,2.4,2.09,2017
West Ham,Tottenham,A,6.0,1.69,2017
Brighton,Newcastle,H,2.8,2.4,2017
Arsenal,West Brom,H,1.33,1.64,2017
Bournemouth,Leicester,D,2.8,1.81,2017
Chelsea,Man City,A,2.75,1.7,2017
Huddersfield,Tottenham,A,8.5,1.74,2017
Man United,Crystal Palace,H,1.17,1.58,2017
Stoke,Southampton,H,2.88,2.17,2017
