HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Avg>2.5,Avg<2.5
Fulham,Arsenal,0,3,A,6.0,4.33,1.53,1.76,2.1
Crystal Palace,Southampton,1,0,H,3.1,3.25,2.37,2.24,1.67
Liverpool,Leeds,4,3,H,1.28,6.0,9.5,1.52,2.53
West Ham,Newcastle,0,2,A,2.15,3.4,3.4,1.97,1.86
West Brom,Leicester,0,3,A,3.8,3.6,1.95,1.92,1.9
Tottenham,Everton,0,1,A,1.83,3.6,4.33,1.94,1.88
Brighton,Chelsea,1,3,A,5.0,4.33,1.61,1.76,2.08
Sheffield United,Wolves,0,2,A,3.25,3.1,2.37,2.68,1.48
Everton,West Brom,5,2,H,1.5,4.2,6.5,1.81,2.03
Leeds,Fulham,4,3,H,1.61,3.9,5.75,1.93,1.91
Man United,Crystal Palace,1,3,A,1.3,5.5,9.5,1.66,2.24
Arsenal,West Ham,2,1,H,1.53,4.5,5.5,1.64,2.3
Southampton,Tottenham,2,5,A,3.0,3.3,2.37,1.97,1.87
Newcastle,Brighton,0,3,A,2.6,3.1,2.87,2.38,1.59
Chelsea,Liverpool,0,2,A,3.1,3.6,2.2,1.61,2.35
Leicester,Burnley,4,2,H,1.61,4.0,5.5,1.95,1.88
Aston Villa,Sheffield United,1,0,H,2.7,3.1,2.75,2.25,1.66
Wolves,Man City,1,3,A,6.5,4.33,1.5,1.7,2.18
Brighton,Man United,2,3,A,4.75,3.75,1.72,1.86,1.97
Crystal Palace,Everton,1,2,A,3.75,3.25,2.1,2.16,1.71
West Brom,Chelsea,3,3,D,9.0,4.75,1.36,1.64,2.28
Burnley,Southampton,0,1,A,3.2,3.3,2.3,2.09,1.75
Sheffield United,Leeds,0,1,A,2.7,3.3,2.62,2.0,1.83
Tottenham,Newcastle,1,1,D,1.45,4.5,7.0,1.75,2.1
Man City,Leicester,2,5,A,1.28,6.0,9.5,1.41,2.9
West Ham,Wolves,4,0,H,3.6,3.5,2.05,2.13,1.73
Fulham,Aston Villa,0,3,A,2.9,3.25,2.5,2.07,1.76
Liverpool,Arsenal,3,1,H,1.45,4.75,6.5,1.54,2.48
Chelsea,Crystal Palace,4,0,H,1.4,4.75,8.0,1.62,2.33
Everton,Brighton,4,2,H,1.72,3.75,4.8,1.83,2.0
Leeds,Man City,1,1,D,7.5,5.25,1.36,1.37,3.11
Newcastle,Burnley,3,1,H,2.4,3.2,3.1,2.31,1.62
Leicester,West Ham,0,3,A,1.61,4.2,5.25,1.66,2.23
Southampton,West Brom,2,0,H,1.72,3.8,4.75,1.8,2.02
Arsenal,Sheffield United,2,1,H,1.57,4.0,6.0,1.93,1.89
Wolves,Fulham,1,0,H,1.5,4.0,7.5,2.12,1.73
Man United,Tottenham,1,6,A,1.85,3.8,4.0,1.79,2.04
Aston Villa,Liverpool,7,2,H,10.0,5.5,1.3,1.53,2.5
Everton,Liverpool,2,2,D,3.75,4.2,1.83,1.53,2.53
Chelsea,Southampton,3,3,D,1.45,4.75,6.5,1.58,2.4
Man City,Arsenal,1,0,H,1.44,5.0,6.5,1.43,2.8
Newcastle,Man United,1,4,A,4.75,4.0,1.66,1.74,2.11
Sheffield United,Fulham,1,1,D,2.1,3.3,3.7,2.25,1.65
Crystal Palace,Brighton,1,1,D,2.62,3.3,2.7,2.19,1.69
Tottenham,West Ham,3,3,D,1.57,4.33,5.5,1.59,2.37
Leicester,Aston Villa,0,1,A,1.83,3.8,4.1,1.63,2.3
West Brom,Burnley,0,0,D,2.45,3.3,2.9,2.12,1.73
Leeds,Wolves,0,1,A,2.5,3.3,2.87,2.13,1.72
Aston Villa,Leeds,0,3,A,2.05,3.75,3.3,1.61,2.36
West Ham,Man City,1,1,D,8.0,5.25,1.36,1.42,2.89
Fulham,Crystal Palace,1,2,A,2.75,3.1,2.7,2.27,1.65
Man United,Chelsea,0,0,D,2.37,3.6,2.8,1.62,2.32
Liverpool,Sheffield United,2,1,H,1.22,6.5,12.0,1.49,2.61
Southampton,Everton,2,0,H,2.75,3.4,2.55,1.79,2.05
Wolves,Newcastle,1,1,D,1.75,3.5,5.25,2.25,1.66
Arsenal,Leicester,0,1,A,1.9,3.75,3.8,1.74,2.12
Brighton,West Brom,1,1,D,1.7,4.0,4.75,1.83,2.0
Burnley,Tottenham,0,1,A,5.75,4.0,1.6,1.84,1.98
Wolves,Crystal Palace,2,0,H,2.0,3.2,4.33,2.67,1.48
Sheffield United,Man City,0,1,A,9.5,6.0,1.28,1.51,2.58
Burnley,Chelsea,0,3,A,6.0,4.5,1.5,1.66,2.23
Liverpool,West Ham,2,1,H,1.36,5.25,7.5,1.4,2.95
Aston Villa,Southampton,3,4,A,2.45,3.5,2.8,1.65,2.27
Newcastle,Everton,2,1,H,3.7,3.4,2.05,1.82,2.01
Man United,Arsenal,0,1,A,2.0,3.6,3.6,1.74,2.12
Tottenham,Brighton,2,1,H,1.61,4.0,5.5,1.65,2.26
