,Unnamed: 0,FTR,prediction
1,2160,AD,H
3,965,H,AD
8,3202,AD,H
9,3005,AD,H
11,136,AD,H
13,1069,H,AD
14,2051,H,AD
17,203,AD,H
18,282,H,AD
20,2158,H,AD
26,904,H,AD
29,1408,H,AD
34,1797,H,AD
36,479,AD,H
38,1671,H,AD
40,3558,H,AD
41,1888,H,AD
44,1796,H,AD
47,1593,H,AD
48,952,H,AD
50,1060,H,AD
52,3140,H,AD
56,3578,H,AD
57,3301,H,AD
64,3600,H,AD
65,1043,H,AD
66,946,H,AD
67,602,H,AD
70,2826,H,AD
74,1288,H,AD
75,1757,H,AD
77,1664,H,AD
79,89,AD,H
83,286,H,AD
85,1762,AD,H
97,3626,H,AD
98,3082,H,AD
103,3624,H,AD
104,713,H,AD
105,2155,H,AD
108,721,H,AD
113,1322,AD,H
117,3555,H,AD
120,3310,H,AD
124,2623,H,AD
125,3021,H,AD
126,46,H,AD
127,3091,H,AD
128,632,H,AD
129,2769,H,AD
132,1501,H,AD
133,3588,AD,H
136,1114,AD,H
138,3076,H,AD
142,1424,H,AD
149,1281,AD,H
152,1950,H,AD
154,1052,H,AD
158,3323,AD,H
159,1079,H,AD
160,715,H,AD
165,535,H,AD
167,2543,H,AD
171,242,H,AD
173,1278,AD,H
177,2127,AD,H
178,1174,H,AD
179,1099,AD,H
183,674,AD,H
188,1720,H,AD
190,1960,AD,H
192,2027,AD,H
194,1739,H,AD
197,3568,AD,H
199,1577,AD,H
201,1087,H,AD
207,924,H,AD
208,1165,H,AD
213,1661,AD,H
214,3026,AD,H
220,1608,H,AD
221,3196,H,AD
223,3274,AD,H
225,2755,H,AD
228,219,H,AD
229,2968,H,AD
237,1982,H,AD
243,3538,AD,H
244,2252,AD,H
251,1287,H,AD
252,3314,H,AD
253,2573,H,AD
254,3269,H,AD
256,813,AD,H
259,895,AD,H
261,3473,H,AD
262,150,AD,H
264,1235,H,AD
265,3092,H,AD
266,1338,H,AD
267,3172,AD,H
268,985,H,AD
269,667,H,AD
274,1752,H,AD
276,2050,H,AD
284,642,H,AD
285,2250,H,AD
288,3733,AD,H
297,442,H,AD
299,995,H,AD
306,854,H,AD
309,2957,AD,H
310,996,H,AD
311,363,H,AD
313,1187,H,AD
317,1306,H,AD
322,3551,AD,H
325,1731,H,AD
328,727,AD,H
331,2797,H,AD
335,1760,H,AD
341,3315,H,AD
344,1186,AD,H
346,1564,H,AD
347,3086,H,AD
351,2084,H,AD
353,1495,H,AD
354,595,H,AD
356,2136,H,AD
358,1946,H,AD
362,1784,H,AD
366,3725,H,AD
367,2219,H,AD
377,2484,AD,H
378,2201,H,AD
381,3537,H,AD
383,666,H,AD
384,2307,H,AD
390,2983,H,AD
392,626,H,AD
396,884,H,AD
398,1879,H,AD
400,2171,H,AD
402,772,AD,H
403,3072,H,AD
406,474,AD,H
413,2324,H,AD
419,306,H,AD
421,312,AD,H
423,509,H,AD
424,1477,H,AD
425,661,H,AD
429,3333,H,AD
435,1117,H,AD
436,708,H,AD
438,2424,H,AD
440,2235,AD,H
442,2364,H,AD
443,2262,H,AD
444,3272,AD,H
446,656,H,AD
447,3616,H,AD
449,2765,H,AD
452,3382,AD,H
453,1026,H,AD
458,3387,H,AD
459,1164,H,AD
462,665,H,AD
464,2406,AD,H
465,1663,AD,H
469,78,H,AD
473,1931,H,AD
476,593,H,AD
477,942,H,AD
481,3394,H,AD
483,2148,H,AD
495,647,H,AD
498,1773,AD,H
499,94,H,AD
501,3436,H,AD
503,1518,H,AD
506,1123,H,AD
510,3430,AD,H
511,1209,H,AD
512,2776,AD,H
515,1257,H,AD
520,119,AD,H
525,147,H,AD
531,2356,H,AD
537,43,H,AD
542,3229,H,AD
543,2531,H,AD
548,3058,AD,H
550,1340,H,AD
554,2186,H,AD
556,864,H,AD
557,1727,H,AD
562,1480,H,AD
563,3129,H,AD
565,621,AD,H
566,1447,H,AD
567,1707,H,AD
570,2693,AD,H
571,3223,H,AD
572,2884,H,AD
579,1125,AD,H
584,3137,AD,H
585,3383,H,AD
588,2067,H,AD
589,1435,H,AD
592,526,H,AD
594,1373,AD,H
600,2820,H,AD
601,3625,H,AD
603,1559,H,AD
608,606,H,AD
609,2417,H,AD
613,3277,AD,H
616,1716,H,AD
617,122,AD,H
620,205,AD,H
626,1013,H,AD
627,1666,H,AD
633,1457,H,AD
637,2039,H,AD
638,17,H,AD
642,938,AD,H
644,2378,H,AD
647,2019,H,AD
648,2437,AD,H
649,2369,H,AD
652,2887,H,AD
653,2282,AD,H
659,1061,AD,H
661,3117,AD,H
664,2200,AD,H
666,3421,H,AD
674,3104,H,AD
676,304,H,AD
677,2640,H,AD
678,3204,H,AD
682,2398,H,AD
684,1508,H,AD
691,212,H,AD
694,1092,H,AD
704,2864,AD,H
706,1483,H,AD
708,846,H,AD
716,2934,H,AD
719,2671,H,AD
723,1790,AD,H
730,3386,H,AD
731,2922,H,AD
732,544,H,AD
733,2750,H,AD
739,1476,H,AD
740,1331,H,AD
741,788,H,AD
742,2506,H,AD
747,2159,H,AD
750,515,H,AD
